,method,ISO score,GED score,IM score,ARI,GRI,PDT score,type,data,source
21,monocle,0,0,0,0.796210914,0.769262994,,non-UMI,cycle_1,dyngen
22,paga,0,0,0,0.684975161,0.609888524,,non-UMI,cycle_1,dyngen
23,slingshot,0,0,0,0.767372147,0.730219896,,non-UMI,cycle_1,dyngen
24,monocle,0,0,0,0.759473813,0.771216786,,non-UMI,cycle_2,dyngen
25,paga,0,0,0,0.690681985,0.62558821,,non-UMI,cycle_2,dyngen
26,slingshot,0,0,0,0.803261349,0.709207358,,non-UMI,cycle_2,dyngen
27,monocle,0,0,0,0.668555359,0.766617537,,non-UMI,cycle_3,dyngen
28,paga,0,0,0,0.636810348,0.572759924,,non-UMI,cycle_3,dyngen
29,slingshot,0,0,0,0.740697369,0.659023379,,non-UMI,cycle_3,dyngen
30,monocle,0,0.2,0,0.656620061,0.674158284,0.912636742,UMI,dentate,real
31,paga,0,0,0,0.70315863,0.745984283,0.067915283,UMI,dentate,real
32,slingshot,0,0.6,0,0.736275886,0.701404867,0.947828747,UMI,dentate,real
33,monocle,0,0.142857143,0,0.821371731,0.790855831,0.634452899,non-UMI,fibroblast,real
34,paga,0,0.714285714,0.533918764,0.769238942,0.8396801,0.946264437,non-UMI,fibroblast,real
35,slingshot,0,0.285714286,0,0.880336795,0.806063961,0.958950163,non-UMI,fibroblast,real
36,monocle,0,0,0,0.546328953,0.494072225,0.676506476,non-UMI,germline,real
37,paga,0,0.428571429,0,0.6687925,0.7731606,0.833060741,non-UMI,germline,real
38,slingshot,0,0.285714286,0,0.597218395,0.588010391,0.578934652,non-UMI,germline,real
39,monocle,0,0,0,0.604047604,0.782844612,0.855403292,non-UMI,human_embryos,real
40,paga,0,0,0,0.625292899,0.792775829,0.955475593,non-UMI,human_embryos,real
41,slingshot,0,0.6,0.349110892,0.713883262,0.684620177,0.937129745,non-UMI,human_embryos,real
42,monocle,0,0,0,0.499836469,0.652427647,,UMI,immune,real
43,paga,0,0,0,0.708256691,0.792145655,,UMI,immune,real
44,slingshot,0,0,0,0.906329511,0.845173781,,UMI,immune,real
45,monocle,0,0,0,0.499859,0.576563,0.491052,UMI,linear,our model
46,paga,0,0.2,0,0.779163,0.841606,0.708676,UMI,linear,our model
47,slingshot,0,0.2,0,0.499582,0.579047,0.514341,UMI,linear,our model
48,monocle,0,0,0,0.713043433,0.791161949,0.403783512,non-UMI,linear_1,dyngen
49,paga,0,0,0,0.718707793,0.747955743,0.292962709,non-UMI,linear_1,dyngen
50,slingshot,0,0.5,0,0.76963811,0.859645362,0.990443216,non-UMI,linear_1,dyngen
51,monocle,0,0.5,0,0.710157754,0.785331347,0.803506797,non-UMI,linear_2,dyngen
52,paga,0,0,0,0.718582934,0.707214784,0.012253771,non-UMI,linear_2,dyngen
53,slingshot,1,1,1,0.803176058,0.848711237,0.994015591,non-UMI,linear_2,dyngen
54,monocle,0,0.5,0,0.751858966,0.754227529,0.837292165,non-UMI,linear_3,dyngen
55,paga,0,0,0,0.689601017,0.751438495,0.022228927,non-UMI,linear_3,dyngen
56,slingshot,0,0.5,0,0.732756201,0.826743508,0.990575838,non-UMI,linear_3,dyngen
57,monocle,0,0.111111111,0,0.925054039,0.93997598,0.160155207,non-UMI,mesoderm,real
58,paga,0,0.555555556,0,0.735586432,0.884202075,0.166831739,non-UMI,mesoderm,real
59,slingshot,0,0.333333333,0.51588905,0.978318103,0.939378583,0.812470258,non-UMI,mesoderm,real
60,monocle,0,0.833333,0.4217,0.498156,0.60266,0.496288,UMI,multifurcating,our model
61,paga,0,0.666667,1,0.877965,0.808135,0.590575,UMI,multifurcating,our model
62,slingshot,0,0.666667,0.353749,0.502876,0.617995,0.491865,UMI,multifurcating,our model
63,monocle,0,,0,0.550141005,0.857240808,0.734266524,UMI,planaria_full,real
64,paga,0,,0,0.722166403,0.867401483,0.687552895,UMI,planaria_full,real
65,slingshot,0,,0,0.619767222,0.535299162,0.88538792,UMI,planaria_full,real
66,monocle,0,0,0,0.539511261,0.685611106,0.589294355,UMI,planaria_muscle,real
67,paga,0,0,0,0.590028864,0.642432317,0.840638432,UMI,planaria_muscle,real
68,slingshot,0,0,0,0.626937241,0.65253197,0.746653363,UMI,planaria_muscle,real
69,monocle,0,0,0,0.498646,0.628805,0.491994,UMI,tree,our model
70,paga,0,0.666667,0.596864,0.821093,0.78242,0.413533,UMI,tree,our model
71,slingshot,0,0.666667,0.41649,0.898723,0.876117,0.73876,UMI,tree,our model
72,monocle,0,0,0,0.697562322,0.813381836,0.496869146,non-UMI,trifurcating_1,dyngen
73,paga,0,0,0,0.719231977,0.867109675,0.238366925,non-UMI,trifurcating_1,dyngen
74,slingshot,0,0.6,0.574321889,0.767349785,0.861973699,0.809451322,non-UMI,trifurcating_1,dyngen
75,monocle,0,0.2,0,0.712250408,0.82491184,0.736719187,non-UMI,trifurcating_2,dyngen
76,paga,0,0,0,0.761666768,0.905452236,0.849869451,non-UMI,trifurcating_2,dyngen
77,slingshot,0,0.8,0,0.735664303,0.890054366,0.870622083,non-UMI,trifurcating_2,dyngen
