,method,data,ISO score,GED score,IM score,ARI,GRI,PDT score,source
80,w_base,human_embryos,0.99,0.998,0.993197345,0.828240349,0.773592816,0.917698627,real
81,raw_map,human_embryos,1,1,1,0.828248548,0.770699955,0.905308799,real
82,modified_map,human_embryos,1,1,1,0.828248548,0.770964738,0.906859754,real
83,map,human_embryos,0.91,0.964,0.94141998,0.828248548,0.771210911,0.911289818,real
84,modified_map,immune,0,0.333333333,0,0.994854532,0.84987749,,real
85,map,immune,0,0.333333333,0,0.994854532,0.84987749,,real
86,raw_map,immune,0,0.333333333,0,0.994854532,0.849477197,,real
87,mean,immune,0,0.333333333,0,0.994854532,0.84998239,,real
88,w_base,immune,0,0.333333333,0,0.994854532,0.850446993,,real
89,modified_mean,immune,0,0.333333333,0,0.994854532,0.84998239,,real
90,raw_map,linear,1,1,1,0.765442061,0.847429428,0.8240406,our model
91,modified_mean,linear,0.84,0.936,0.895857743,0.765442061,0.841757078,0.822401182,our model
92,map,linear,0.93,0.972,0.954437762,0.765442061,0.844927701,0.823050078,our model
93,w_base,linear,1,1,1,0.765442061,0.847429166,0.824040623,our model
94,modified_map,linear,0.98,0.992,0.986982218,0.765442061,0.84681355,0.823502879,our model
95,mean,linear,0.91,0.964,0.94141998,0.765442061,0.844357537,0.822129324,our model
96,modified_map,linear_1,1,1,1,0.811869241,0.851046363,0.987913537,dyngen
97,w_base,linear_1,1,1,1,0.811869241,0.851046363,0.987913537,dyngen
98,modified_mean,linear_1,1,1,1,0.811869241,0.851046363,0.987913537,dyngen
99,mean,linear_1,1,1,1,0.811869241,0.851046363,0.987913537,dyngen
100,raw_map,linear_1,1,1,1,0.811869241,0.851046363,0.987913537,dyngen
101,map,linear_1,1,1,1,0.811869241,0.851046363,0.987913537,dyngen
102,mean,linear_2,1,1,1,0.822869679,0.844165189,0.9900887,dyngen
103,w_base,linear_2,1,1,1,0.822869679,0.844165189,0.9900887,dyngen
104,modified_mean,linear_2,1,1,1,0.822869679,0.844165189,0.9900887,dyngen
105,modified_map,linear_2,1,1,1,0.822869679,0.844165189,0.9900887,dyngen
106,map,linear_2,1,1,1,0.822869679,0.844165189,0.9900887,dyngen
107,raw_map,linear_2,1,1,1,0.822869679,0.844165189,0.9900887,dyngen
108,mean,linear_3,1,1,1,0.766853116,0.827154924,0.975745901,dyngen
109,modified_mean,linear_3,1,1,1,0.766853116,0.827154924,0.975745901,dyngen
110,modified_map,linear_3,1,1,1,0.766853116,0.827154924,0.975745901,dyngen
111,raw_map,linear_3,1,1,1,0.766853116,0.827154924,0.975745901,dyngen
112,map,linear_3,1,1,1,0.766853116,0.827154924,0.975745901,dyngen
113,w_base,linear_3,1,1,1,0.766853116,0.827154924,0.975745901,dyngen
114,raw_map,mesoderm,0,0.577777778,0.651356805,0.98292053,0.932070563,0.612633501,real
115,w_base,mesoderm,0,0.562222222,0.555893896,0.982934726,0.936490215,0.631763921,real
116,modified_map,mesoderm,0,0.58,0.6520159,0.98292053,0.932412774,0.610824149,real
117,map,mesoderm,0,0.577777778,0.641417322,0.9829221,0.932353415,0.616668716,real
118,mean,mesoderm,0,0.573333333,0.658862663,0.98288765,0.931204763,0.637043405,real
119,modified_mean,mesoderm,0,0.575555556,0.659560947,0.98288765,0.931232991,0.634582855,real
120,w_base,multifurcating,0.68,0.893333333,0.793199557,0.877492873,0.882024673,0.78630056,our model
121,mean,multifurcating,0.74,0.913333333,0.83197464,0.877496637,0.883443586,0.783968413,our model
122,modified_map,multifurcating,0.69,0.896666667,0.79966207,0.877496637,0.882515933,0.787231661,our model
123,modified_mean,multifurcating,0.74,0.913333333,0.83197464,0.877496637,0.883443586,0.783968413,our model
124,map,multifurcating,0.75,0.916666667,0.838437154,0.877496637,0.883621044,0.78330978,our model
125,raw_map,multifurcating,0.85,0.95,0.903062292,0.877510339,0.885394681,0.776680148,our model
126,w_base,planaria_full,0,,0.560306774,0.736797902,0.871523332,0.830896171,real
127,raw_map,planaria_full,0,,0.641066565,0.737119671,0.862822478,0.821554767,real
128,modified_mean,planaria_full,0,,0.621579379,0.737188372,0.864088894,0.780800423,real
129,mean,planaria_full,0,,0.621299734,0.737219605,0.864137591,0.78127243,real
130,modified_map,planaria_full,0,,0.560016303,0.73652212,0.867410575,0.810282963,real
131,map,planaria_full,0,,0.602680104,0.736631349,0.866750466,0.793512266,real
132,map,planaria_muscle,0.84,0.893333333,1,0.742993692,0.631757636,0.915132958,real
133,mean,planaria_muscle,0.7,0.8,1,0.742993692,0.645027859,0.911747068,real
134,modified_map,planaria_muscle,0.82,0.88,1,0.742993692,0.63351101,0.914477156,real
135,raw_map,planaria_muscle,0.8,0.866666667,1,0.742993692,0.635061038,0.913703545,real
136,modified_mean,planaria_muscle,0.66,0.773333333,1,0.742993692,0.647896483,0.910439935,real
137,w_base,planaria_muscle,0.64,0.76,1,0.742993692,0.648426575,0.908972829,real
138,mean,tree,0.8,0.933333333,0.875124789,0.909890721,0.905325193,0.707026587,our model
139,modified_map,tree,1,1,1,0.909853193,0.910816081,0.704650601,our model
140,raw_map,tree,1,1,1,0.909853193,0.910816081,0.704650601,our model
141,w_base,tree,1,1,1,0.909853193,0.910816081,0.704650601,our model
142,map,tree,1,1,1,0.909853193,0.910816081,0.704650601,our model
143,modified_mean,tree,0.8,0.933333333,0.873957177,0.909897127,0.905352239,0.706692664,our model
144,mean,trifurcating_1,0.26,0.772,0.711645923,0.810360022,0.900376398,0.836619261,dyngen
145,raw_map,trifurcating_1,0.3,0.8,0.720841298,0.81071768,0.900188723,0.842357698,dyngen
146,map,trifurcating_1,0.31,0.802,0.724353056,0.8107344,0.900428371,0.842347765,dyngen
147,modified_map,trifurcating_1,0.31,0.806,0.726015569,0.81073889,0.900583959,0.842456653,dyngen
148,w_base,trifurcating_1,0.34,0.818,0.742413313,0.810820614,0.902206426,0.846541674,dyngen
149,modified_mean,trifurcating_1,0.26,0.772,0.711645923,0.810360022,0.900376398,0.836619261,dyngen
150,modified_map,trifurcating_2,0.05,0.786,0.768898722,0.82030733,0.917161211,0.921381467,dyngen
151,modified_mean,trifurcating_2,0.07,0.788,0.771422919,0.820363947,0.917749035,0.920620011,dyngen
152,mean,trifurcating_2,0.07,0.788,0.771422919,0.820363947,0.917749035,0.920620011,dyngen
153,map,trifurcating_2,0.05,0.784,0.771114046,0.820324629,0.917413392,0.920416963,dyngen
154,raw_map,trifurcating_2,0.05,0.79,0.773214789,0.820280943,0.917309286,0.92180923,dyngen
155,w_base,trifurcating_2,0.07,0.797,0.780347243,0.820317327,0.918290179,0.921953804,dyngen
