,method,ISO score,GED score,IM score,ARI,GRI,PDT score,type,data,source
28,paga,0,0.0,0.0,0.6368103476402605,0.5727599235281146,,non-UMI,cycle_3,dyngen
29,slingshot,0,0.0,0.0,0.7406973692552681,0.6590233787573511,,non-UMI,cycle_3,dyngen
30,monocle,0,0.2,0.0,0.6566200605487442,0.6741582835887284,0.9126367423583961,UMI,dentate,real
31,paga,0,0.0,0.0,0.7031586303109106,0.7459842830810598,0.06791528271184137,UMI,dentate,real
32,slingshot,0,0.6,0.0,0.7362758857068608,0.7014048674165542,0.9478287472856991,UMI,dentate,real
33,monocle,0,0.1428571428571429,0.0,0.8213717307603879,0.7908558309797514,0.6344528988674546,non-UMI,fibroblast,real
34,paga,0,0.7142857142857143,0.5339187640339225,0.7692389415283674,0.8396800998404765,0.9462644366190921,non-UMI,fibroblast,real
35,slingshot,0,0.2857142857142857,0.0,0.8803367947175322,0.8060639614185532,0.9589501626010659,non-UMI,fibroblast,real
36,monocle,0,0.0,0.0,0.5463289527810211,0.4940722254639862,0.6765064757115496,non-UMI,germline,real
37,paga,0,0.4285714285714286,0.0,0.6687925004407118,0.7731606002489634,0.833060741246989,non-UMI,germline,real
38,slingshot,0,0.2857142857142857,0.0,0.5972183948721854,0.5880103914882884,0.5789346521858753,non-UMI,germline,real
39,monocle,0,0.0,0.0,0.604047603983036,0.7828446122793791,0.8554032920101742,non-UMI,human_embryos,real
40,paga,0,0.0,0.0,0.6252928992460143,0.7927758285869456,0.9554755926225941,non-UMI,human_embryos,real
41,slingshot,0,0.6,0.3491108916276583,0.7138832621001131,0.6846201770381204,0.9371297451452091,non-UMI,human_embryos,real
42,monocle,0,0.0,0.0,0.4998364693999329,0.6524276469261769,,UMI,immune,real
43,paga,0,0.0,0.0,0.7082566911847525,0.7921456546380432,,UMI,immune,real
44,slingshot,0,0.0,0.0,0.9063295105908176,0.8451737807337658,,UMI,immune,real
45,monocle,0,0.2,0.0,0.6877124533092214,0.7373507304501383,0.9459239711730152,UMI,linear,our model
46,paga,0,0.6,0.0,0.7235418455747149,0.7960057275088996,0.0435910781296624,UMI,linear,our model
47,slingshot,0,0.6,0.0,0.6866570080848724,0.7494579520248335,0.9299279006176844,UMI,linear,our model
48,monocle,0,0.0,0.0,0.7130434327039008,0.7911619494908095,0.403783512470644,non-UMI,linear_1,dyngen
49,paga,0,0.0,0.0,0.7187077928467251,0.7479557426091575,0.2929627092159599,non-UMI,linear_1,dyngen
50,slingshot,0,0.5,0.0,0.7696381101138675,0.8596453622479269,0.9904432163862557,non-UMI,linear_1,dyngen
51,monocle,0,0.5,0.0,0.7101577539871108,0.7853313466677891,0.803506796686043,non-UMI,linear_2,dyngen
52,paga,0,0.0,0.0,0.7185829343396095,0.7072147837563219,0.012253771323118057,non-UMI,linear_2,dyngen
53,slingshot,1,1.0,0.9999999999999966,0.8031760577365197,0.8487112369593438,0.9940155912436412,non-UMI,linear_2,dyngen
54,monocle,0,0.5,0.0,0.7518589656931713,0.7542275285537878,0.8372921647228125,non-UMI,linear_3,dyngen
55,paga,0,0.0,0.0,0.6896010173424256,0.7514384951704748,0.022228927314612183,non-UMI,linear_3,dyngen
56,slingshot,0,0.5,0.0,0.7327562006159682,0.8267435075761098,0.990575838235572,non-UMI,linear_3,dyngen
57,monocle,0,0.11111111111111116,0.0,0.9250540385830592,0.9399759798907332,0.1601552069440489,non-UMI,mesoderm,real
58,paga,0,0.5555555555555556,0.0,0.7355864323878876,0.8842020754566918,0.16683173927349038,non-UMI,mesoderm,real
59,slingshot,0,0.33333333333333337,0.5158890500298241,0.9783181029555093,0.9393785826285572,0.8124702576745515,non-UMI,mesoderm,real
60,monocle,0,0.0,0.0,0.7753823098404746,0.8260591992209528,0.12522687747173272,UMI,multifurcating,our model
61,paga,0,0.1428571428571429,0.0,0.7884208983004353,0.8286196327302532,0.2353968274517657,UMI,multifurcating,our model
62,slingshot,0,0.2857142857142857,0.0,0.7814538225071117,0.7919141989282665,0.7937733046871569,UMI,multifurcating,our model
63,monocle,0,,0.0,0.5501410047022193,0.8572408078580129,0.73426652405152,UMI,planaria_full,real
64,paga,0,,0.0,0.7221664027418266,0.8674014829342075,0.6875528952318782,UMI,planaria_full,real
65,slingshot,0,,0.0,0.6197672215568566,0.5352991615870074,0.8853879198257935,UMI,planaria_full,real
66,monocle,0,0.0,0.0,0.5395112613439529,0.6856111061753423,0.5892943546071611,UMI,planaria_muscle,real
67,paga,0,0.0,0.0,0.5900288636620498,0.6424323165918397,0.8406384315250832,UMI,planaria_muscle,real
68,slingshot,0,0.0,0.0,0.6269372411697023,0.6525319697641878,0.7466533633357183,UMI,planaria_muscle,real
69,monocle,0,0.7142857142857143,0.0,0.7676056820886676,0.7810775741632376,0.8248298271628928,UMI,tree,our model
70,paga,0,0.1428571428571429,0.0,0.7697028769826286,0.8573286699659978,0.2627887453412368,UMI,tree,our model
71,slingshot,0,0.7142857142857143,0.6527901835353169,0.8518150800465543,0.8853226165103493,0.9251757163363142,UMI,tree,our model
72,monocle,0,0.0,0.0,0.6975623220541703,0.8133818357791303,0.4968691455170341,non-UMI,trifurcating_1,dyngen
73,paga,0,0.0,0.0,0.7192319768667452,0.8671096747358661,0.23836692469941284,non-UMI,trifurcating_1,dyngen
74,slingshot,0,0.6,0.5743218891009774,0.7673497850967119,0.8619736988681679,0.8094513220267023,non-UMI,trifurcating_1,dyngen
75,monocle,0,0.2,0.0,0.7122504075011025,0.8249118395811496,0.7367191871034172,non-UMI,trifurcating_2,dyngen
76,paga,0,0.0,0.0,0.7616667681470064,0.9054522362615064,0.8498694506572912,non-UMI,trifurcating_2,dyngen
77,slingshot,0,0.8,0.0,0.7356643026628102,0.8900543663821994,0.8706220829133409,non-UMI,trifurcating_2,dyngen
